date,mua_vao,ban_ra
05/09/2011,47700.0,47900.0
06/09/2011,47600.0,47900.0
07/09/2011,46930.0,47230.0
08/09/2011,46850.0,47150.0
09/09/2011,47450.0,47650.0
10/09/2011,47300.0,47500.0
11/09/2011,47300.0,47500.0
12/09/2011,47250.0,47450.0
13/09/2011,46920.0,47120.0
14/09/2011,47100.0,47300.0
15/09/2011,47000.0,47200.0
16/09/2011,46450.0,46650.0
17/09/2011,47050.0,47250.0
18/09/2011,47050.0,47250.0
19/09/2011,46750.0,47050.0
20/09/2011,46800.0,46950.0
21/09/2011,47020.0,47100.0
22/09/2011,46650.0,46800.0
23/09/2011,46450.0,46650.0
24/09/2011,45350.0,45750.0
25/09/2011,45350.0,45750.0
26/09/2011,44800.0,45500.0
27/09/2011,45250.0,45650.0
28/09/2011,44300.0,44700.0
29/09/2011,43900.0,44200.0
30/09/2011,44000.0,44200.0
01/10/2011,44050.0,44250.0
02/10/2011,44050.0,44250.0
03/10/2011,44380.0,44530.0
04/10/2011,45000.0,45200.0
05/10/2011,44150.0,44350.0
06/10/2011,43650.0,44050.0
07/10/2011,43050.0,43450.0
08/10/2011,43000.0,43400.0
09/10/2011,43000.0,43400.0
10/10/2011,42890.0,43290.0
11/10/2011,43400.0,43700.0
12/10/2011,43800.0,44100.0
13/10/2011,43850.0,44150.0
14/10/2011,43950.0,44150.0
15/10/2011,44050.0,44250.0
16/10/2011,44050.0,44250.0
17/10/2011,44200.0,44400.0
18/10/2011,43700.0,43900.0
19/10/2011,43300.0,43500.0
20/10/2011,42800.0,43100.0
21/10/2011,43200.0,43500.0
22/10/2011,43800.0,44050.0
23/10/2011,43800.0,44050.0
24/10/2011,43800.0,44100.0
25/10/2011,43800.0,44050.0
26/10/2011,44600.0,44900.0
27/10/2011,44650.0,44900.0
28/10/2011,44950.0,45250.0
29/10/2011,45000.0,45300.0
30/10/2011,45000.0,45300.0
31/10/2011,44550.0,44850.0
01/11/2011,44650.0,44850.0
02/11/2011,45000.0,45200.0
03/11/2011,44950.0,45200.0
04/11/2011,45400.0,45700.0
05/11/2011,45300.0,45600.0
06/11/2011,45300.0,45600.0
07/11/2011,45600.0,45850.0
08/11/2011,46350.0,46550.0
09/11/2011,46350.0,46550.0
10/11/2011,46100.0,46300.0
11/11/2011,45950.0,46150.0
12/11/2011,46250.0,46450.0
